Sector,Domain,Note
office,kssos.org,"Office of the Secretary of State, State of Kansas -- Note added 7/23/14 15:51"
department,kyagr.com,Kentucky Department of Agriculture -- Note added 7/5/13 17:39
ky,kyconvention.org,ky convention center  -- Note added 8/27/15 16:39
education,kyepsb.net,Kentucky Education Professional Standards Board -- Note added 7/5/13 17:38
ky,kyfairexpo.org,KY expo center -- Note added 8/27/15 16:41
lottery,kylottery.com,Kentucky Lottery -- Note added 6/12/13 14:10
ky,kytreasury.com,KY Treasury -- Note added 8/27/15 16:42
la,labenfa.com,LA Board of Examiners of Nursing Facility Administrators -- Note added 9/22/15 20:03
board,labmt.org,Louisiana Board of Massage Therapy -- Note added 11/12/15 17:36
board,labp.com,Louisiana Board of Pharmacy -- Note added 8/24/15 14:41
state,labswe.org,Louisiana State Board of Social Work Examiners -- Note added 8/24/15 14:41
state,lachiropracticboard.com, Louisiana State Board of Chiropractic Examiners -- Note added 8/24/15 14:42
council,lacisd.org,The Council of Information Services Directors for Louisiana -- Note added 8/24/15 14:43
board,lacourtreporterboard.com,Louisiana Board of Examiners of Certified Shorthand Reporters -- Note added 9/23/15 12:16
developmental,laddc.org,Louisiana Developmental Disabilities Council -- Note added 9/23/15 13:30
egg,laeggs.com,"Louisiana Egg Commission, Louisiana Department of Agriculture & Forestry  -- Note added 9/23/15 14:53"
auctioneers,lalb.org,Louisiana Auctioneers Licensing Board -- Note added 9/23/15 16:37
professional,lapels.com,Louisiana Professional Engineering and Land Surveying Board -- Note added 8/24/15 14:46
physical,laptboard.org,Louisiana Physical Therapy Board -- Note added 8/24/15 14:46
supreme,lasc.org,Louisiana Supreme Court -- Note added 9/23/15 16:38
state,lastbdarchs.com,Louisiana State Board of Architectural Examiners -- Note added 1/14/14 14:13
workforce,laworks.net,Louisiana Workforce Commission (LAWorks) -- Note added 9/23/15 16:41
board,lbedn.org,Louisiana Board of Examiners in Dietetics and Nutrition  -- Note added 8/24/15 14:48
board,lbespa.org,Louisiana board of speech language pathology -- Note added 8/24/15 14:51
