Sector,States,Domain,Note
- lincoln,['nebraska'],ianrpubs.unl.edu,University of Nebraska - Lincoln Extension publications -- Note added 11/20/13 19:14
army national,['idaho'],idahoarmyguard.org,Idaho Army National Guard -- Note added 1/23/14 14:03
Unknown,['idaho'],idaholottery.com,Idaho Lottery -- Note added 6/12/13 14:09
ideal -,['idaho'],idsaves.org,IDeal - Idaho College Savings Program -- Note added 7/8/13 19:00
benefits portal,['indiana'],ifcem.com,"Benefits Portal, http://www.in.gov/fssa/ Indiana Family and Social Services Administration -- Note added 11/20/13 19:35"
office state,['illinois'],illinoisepay.com,Office of the Illinois State Treasurer -- Note added 7/2/14 18:37
Unknown,['illinois'],illinoislottery.com,Illinois Lottery -- Note added 6/12/13 14:09
travel tourism,['new york'],iloveny.com,Travel and Tourism Site for New York -- Note added 6/6/13 19:12
inclusive health,['north carolina'],inclusivehealth.org,"Inclusive Health, North Carolina Health Insurance Risk Pool, Inc. -- Note added 11/20/13 19:54"
hereby created,['washington'],innovatewashington.org,Innovate Washington is hereby created as a state agency exercising public and essential governmental functions. Innovate Washington is created as the successor to the Washington technology center and the Spokane intercollegiate research and technology institute (SIRTI). See http://apps.leg.wa.gov/RCW/default.aspx?cite=43.333&full=true  -- Note added 7/23/14 14:21
guam economic,[],investguam.com,Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. -- Note added 6/7/13 17:59
board investments,['montana'],investmentmt.com,Montana Board of Investments -- Note added 11/21/13 14:44
economic development,['iowa'],iowaeconomicdevelopment.com,Iowa Economic Development Authority -- Note added 11/21/13 15:05
", perkins",['iowa'],iowanation.org,"Iowa Tribe of Oklahoma, Perkins, OK -- Note added 11/21/13 15:11"
national guard,['iowa'],iowanationalguard.com,Iowa National Guard -- Note added 1/23/14 14:03
state fair,['iowa'],iowastatefair.org,Iowa State Fair -- Note added 6/12/13 18:48
division public,['north carolina'],itsok2ask.com,"The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33"
history site,['new jersey'],jerseyhistory.org,new jersey history site -- Note added 9/16/15 14:49
julian f.,['north carolina'],jfkadatc.net,Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities -- Note added 9/22/15 17:00
jobs4jersey .,[],jobs4jersey.com,Jobs4Jersey. NJ Department of Labor and Workforce Development. -- Note added 6/6/13 18:08
unified courts,[],justice.gov.gu,"Unified Courts of Guam, Guam Judiciary - www.justice.gov.gu -- Note added 6/7/13 17:57"
justice administration,[],justiceadmin.org,"Justice Administration Commission - The Justice Administrative Commission (JAC), created in 1965, provides administrative services on behalf of 49 judicial related entities. -- Note added 6/23/15 19:03"
academic advising,['kentucky'],kacada.org,Kentucky Academic Advising Association -- Note added 1/3/14 13:19
highway patrol,['kansas'],kansashighwaypatrol.org,Kansas Highway Patrol -- Note added 7/9/14 4:30
Unknown,['kentucky'],kentuckygsa.com,kentucky center -- Note added 8/27/15 16:36
national guard,['kentucky'],kentuckyguard.com,Kentucky National Guard -- Note added 1/23/14 14:03
housing corp,['kentucky'],kentuckyhousing.org, kentucky housing corp -- Note added 8/27/15 16:37
state police,['kentucky'],kentuckystatepolice.org,Kentucky State Police -- Note added 6/12/13 18:09
travel tourism,['kentucky'],kentuckytourism.com,Travel and Tourism Site for Kentucky -- Note added 6/6/13 19:38
higher education,['kentucky'],kheaa.com,Kentucky Higher Education Assistance Authority -- Note added 7/26/13 17:48
